epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,68091.5,1.47166,0.75659,1.10235,0.81352,0.46965,0.56464,0.32041,1.50716,0.69068,1.20475,0.003466,0.003466,0.003466
68,68918.7,1.46218,0.7512,1.10027,0.81342,0.46968,0.56486,0.32052,1.50658,0.69025,1.20462,0.003367,0.003367,0.003367
69,69995.4,1.46044,0.74989,1.09891,0.81283,0.47022,0.56495,0.32059,1.50623,0.68984,1.20451,0.003268,0.003268,0.003268
70,71049.5,1.46161,0.74971,1.09676,0.81386,0.47037,0.56529,0.3208,1.50585,0.68939,1.2044,0.003169,0.003169,0.003169
71,72105.8,1.46057,0.75073,1.09924,0.81424,0.47045,0.56571,0.32108,1.50536,0.68888,1.20445,0.00307,0.00307,0.00307
72,73161,1.4583,0.74884,1.09739,0.81469,0.47063,0.56592,0.32137,1.50494,0.68854,1.20451,0.002971,0.002971,0.002971
73,74214.3,1.45397,0.74503,1.09718,0.81504,0.47058,0.56595,0.32151,1.5045,0.68829,1.20436,0.002872,0.002872,0.002872
74,75263.1,1.45487,0.74724,1.09631,0.81517,0.47058,0.56616,0.32176,1.50398,0.68794,1.20431,0.002773,0.002773,0.002773
75,76318.4,1.45355,0.74278,1.09447,0.81474,0.47086,0.56643,0.32204,1.50351,0.68758,1.20411,0.002674,0.002674,0.002674
76,77373.2,1.45187,0.74358,1.09428,0.81478,0.47112,0.5666,0.32224,1.50309,0.68729,1.20417,0.002575,0.002575,0.002575
77,78429.1,1.44644,0.74122,1.09267,0.81506,0.47112,0.56686,0.32243,1.50252,0.687,1.204,0.002476,0.002476,0.002476
78,79483.3,1.44373,0.73933,1.08995,0.81491,0.47121,0.56686,0.32257,1.50223,0.68677,1.20382,0.002377,0.002377,0.002377
79,80536.4,1.44495,0.73838,1.09187,0.81387,0.47182,0.56698,0.3227,1.50187,0.68653,1.20365,0.002278,0.002278,0.002278
80,81591.9,1.44186,0.7358,1.08914,0.81389,0.47197,0.56717,0.32282,1.50145,0.68621,1.20352,0.002179,0.002179,0.002179
81,82550.5,1.44266,0.73537,1.08795,0.81393,0.47203,0.5672,0.32293,1.50094,0.68591,1.2033,0.00208,0.00208,0.00208
82,83610.2,1.43449,0.73426,1.0906,0.81421,0.47214,0.56743,0.32312,1.50051,0.68575,1.2031,0.001981,0.001981,0.001981
83,84670.3,1.43661,0.73337,1.08769,0.81408,0.47223,0.56753,0.32322,1.50021,0.68555,1.20287,0.001882,0.001882,0.001882
84,85728.9,1.4378,0.73556,1.0882,0.81446,0.47227,0.5677,0.32341,1.49987,0.68525,1.20274,0.001783,0.001783,0.001783
85,86505.9,1.43027,0.72788,1.08383,0.81398,0.47257,0.56779,0.32348,1.49962,0.685,1.20267,0.001684,0.001684,0.001684
86,87531.3,1.42702,0.72793,1.08509,0.8142,0.47258,0.56799,0.3237,1.49931,0.6848,1.20262,0.001585,0.001585,0.001585
87,87884.4,1.42674,0.72771,1.0843,0.81433,0.47264,0.56821,0.32378,1.49914,0.68463,1.20251,0.001486,0.001486,0.001486
88,88236.9,1.42487,0.72652,1.08306,0.81367,0.47302,0.56838,0.32398,1.4987,0.68435,1.20241,0.001387,0.001387,0.001387
89,88589.4,1.42148,0.72383,1.08372,0.81393,0.47315,0.5684,0.32405,1.49843,0.68416,1.20225,0.001288,0.001288,0.001288
90,89124.8,1.41914,0.72142,1.08109,0.81401,0.473,0.56843,0.3242,1.49814,0.68395,1.20209,0.001189,0.001189,0.001189
91,90193.4,1.37977,0.68345,1.0541,0.8146,0.47315,0.56872,0.32451,1.49745,0.68361,1.20211,0.00109,0.00109,0.00109
92,91231.8,1.36661,0.67576,1.0494,0.81513,0.47294,0.56883,0.32473,1.49688,0.68322,1.20216,0.000991,0.000991,0.000991
93,92264.8,1.3675,0.67306,1.04832,0.81454,0.47311,0.56893,0.3249,1.4965,0.68295,1.20226,0.000892,0.000892,0.000892
94,93299,1.35993,0.67025,1.04781,0.81573,0.47273,0.56913,0.32523,1.49586,0.68263,1.20231,0.000793,0.000793,0.000793
95,94337.4,1.35819,0.67012,1.04568,0.81531,0.47292,0.5694,0.32545,1.4954,0.68224,1.2024,0.000694,0.000694,0.000694
96,95373,1.35898,0.66963,1.0443,0.81502,0.47318,0.56975,0.32572,1.49493,0.68187,1.20256,0.000595,0.000595,0.000595
97,96412.3,1.35515,0.66598,1.04423,0.81537,0.47303,0.56982,0.32605,1.49444,0.68148,1.20277,0.000496,0.000496,0.000496
98,97442,1.35086,0.66445,1.04246,0.81475,0.47363,0.57008,0.32622,1.494,0.68119,1.20294,0.000397,0.000397,0.000397
99,98476.4,1.35081,0.66242,1.04113,0.81503,0.47359,0.57033,0.32644,1.49352,0.68098,1.20303,0.000298,0.000298,0.000298
100,99511.4,1.34672,0.66196,1.04015,0.81576,0.47359,0.57048,0.32669,1.49302,0.68074,1.20321,0.000199,0.000199,0.000199
